Image,Classification
232360.jpg,Eliptical
36208.jpg,Barred Spiral
187710.jpg,Barred Spiral
88541.jpg,Eliptical
151381.jpg,Spiral
136285.jpg,Eliptical
7301.jpg,Spiral
155479.jpg,Eliptical
154059.jpg,Barred Spiral
137069.jpg,Barred Spiral
92171.jpg,Spiral
230443.jpg,Eliptical
97486.jpg,Eliptical
132986.jpg,Barred Spiral
208852.jpg,Eliptical
144446.jpg,Eliptical
60586.jpg,Barred Spiral
70015.jpg,Eliptical
75925.jpg,Eliptical
191967.jpg,Eliptical
81398.jpg,Eliptical
141338.jpg,Eliptical
126715.jpg,Barred Spiral
129935.jpg,Barred Spiral
224501.jpg,Eliptical
141256.jpg,Spiral
185165.jpg,Eliptical
99768.jpg,Barred Spiral
48939.jpg,Eliptical
82372.jpg,Barred Spiral
114017.jpg,Eliptical
143576.jpg,Eliptical
56490.jpg,Spiral
221990.jpg,Barred Spiral
60945.jpg,Barred Spiral
41183.jpg,Eliptical
98291.jpg,Barred Spiral
112547.jpg,Spiral
237657.jpg,Eliptical
82680.jpg,Barred Spiral
156433.jpg,Eliptical
75894.jpg,Eliptical
70119.jpg,Spiral
106684.jpg,Spiral
130935.jpg,Eliptical
111195.jpg,Barred Spiral
110818.jpg,Eliptical
57144.jpg,Eliptical
164160.jpg,Barred Spiral
201739.jpg,Eliptical
155828.jpg,Eliptical
113207.jpg,Spiral
227028.jpg,Spiral
86244.jpg,Eliptical
75295.jpg,Spiral
179603.jpg,Eliptical
194428.jpg,Eliptical
116589.jpg,Eliptical
185577.jpg,Barred Spiral
171867.jpg,Eliptical
138416.jpg,Spiral
13143.jpg,Eliptical
211970.jpg,Barred Spiral
201041.jpg,Eliptical
153456.jpg,Eliptical
69491.jpg,Barred Spiral
7216.jpg,Barred Spiral
90954.jpg,Spiral
195464.jpg,Eliptical
206698.jpg,Eliptical
136527.jpg,Barred Spiral
115560.jpg,Barred Spiral
111320.jpg,Spiral
111165.jpg,Eliptical
136059.jpg,Barred Spiral
128796.jpg,Barred Spiral
97317.jpg,Barred Spiral
210319.jpg,Barred Spiral
185437.jpg,Eliptical
67596.jpg,Barred Spiral
230824.jpg,Barred Spiral
26849.jpg,Eliptical
36526.jpg,Barred Spiral
17080.jpg,Barred Spiral
182112.jpg,Spiral
47407.jpg,Barred Spiral
106180.jpg,Barred Spiral
113882.jpg,Eliptical
50973.jpg,Spiral
